a	A		sumti or		logical connective: sumti afterthought or
a'a	UI1		attentive		attitudinal: attentive - inattentive - avoiding	(cf. jundi, rivbi)
a'acu'i	UI*1		inattentive		attitudinal: attentive - inattentive - avoiding
a'anai	UI*1		avoiding		attitudinal: attentive - inattentive - avoiding
a'e	UI1		alertness		attitudinal: alertness - exhaustion	(cf. sanji, cikna, tatpi)
a'enai	UI*1		exhaustion		attitudinal: alertness - exhaustion
a'i	UI1		effort		attitudinal: effort - no special effort - repose	(cf. gunka, slunandu, guksurla, troci, selprogunka)
a'icu'i	UI*1		no special effort		attitudinal: effort - no special effort - repose
a'inai	UI*1		repose		attitudinal: effort - no special effort - repose
a'o	UI1		hope		attitudinal: hope - despair	(cf. pacna)
a'onai	UI*1		despair		attitudinal: hope - despair
a'u	UI1		interest		attitudinal: interest - disinterest - repulsion	(cf. cinri, selcni)
a'ucu'i	UI*1		disinterest		attitudinal: interest - disinterest - repulsion
a'unai	UI*1		repulsion		attitudinal: interest - disinterest - repulsion
abu	BY*		a		letteral for a
ai	UI1		intent		attitudinal: intent - indecision - rejection/refusal	(cf. termu'i, terzu'e, seljdi, selcu'a)
aicu'i	UI*1		indecision		attitudinal: intent - indecision - rejection/refusal
ainai	UI*1		refusal		attitudinal: intent - indecision - rejection/refusal
au	UI1		desire		attitudinal: desire - indifference - reluctance	(cf. djica)
aucu'i	UI*1		indifference		attitudinal: desire - indifference - reluctance
aunai	UI*1		reluctance		attitudinal: desire - indifference - reluctance
ba	PU		after		time tense relation/direction: will [selbri]; after [sumti]; default future tense
ba'a	UI2		I anticipate		evidential: I expect - I experience - I remember	(cf. bavykri, lifri, morji)
ba'acu'i	UI*2		I experience		evidential: I expect - I experience - I remember
ba'anai	UI*2		I remember		evidential: I expect - I experience - I remember
ba'e	BAhE		emphasize next		forethought emphasis indicator; indicates next word is especially emphasized
ba'i	BAI		replaced by		basti modal, 1st place                            replaced by ...
ba'o	ZAhO		perfective		interval event contour: in the aftermath of ...; since ...; perfective              |     |----
ba'u	UI3		exaggeration		discursive: exaggeration - accuracy - understatement	(cf. satci, dukse)
ba'ucu'i	UI*3		accuracy		discursive: exaggeration - accuracy - understatement
ba'unai	UI*3		understatement		discursive: exaggeration - accuracy - understatement
baba	PU*		will be going to		time tense: will be going to; (tense/modal)
baca'a	PU*		will actually		time tense: future actuality; modal aspect
baca'o	ZAhO*		will be then		time tense: will be then; (tense/modal)
bacru		ba'u	utter		x1 utters verbally/says/phonates/speaks [vocally makes sound] x2	[also voices; does not necessarily imply communication or audience; ('says' is usually cusku)]; (cf. krixa, cusku, casnu, tavla, voksa, pinka)
badna			banana		x1 is a banana/plantain [fruit/plant] of species/breed x2	(cf. grute)
badri		dri	sad		x1 is sad/depressed/dejected/[unhappy/feels sorrow/grief] about x2 (abstraction)	(cf. klaku, gleki, betri, cinmo, junri)
bai	BAI		compelled by		bapli modal, 1st place (forced by)                forcedly; compelled by force ...
bajra		baj	run		x1 runs on surface x2 using limbs x3 with gait x4	(cf. cadzu, klama, litru, stapa, plipe, cpare)
bakfu		baf	bundle	'pack'	x1 is a bundle/package/cluster/clump/pack [shape/form] containing x2, held together by x3	(cf. daski, dakli, tanxe)
bakni		bak	bovine	'ox'	x1 is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed x2	(cf. danlu)
bakri			chalk		x1 is a quantity of/contains/is made of chalk from source x2 in form x3	(cf. pinsi, blabi, jilka)
baktu			bucket		x1 is a bucket/pail/can/deep, solid, wide-topped container of contents x2, made of material x3	(cf. botpi, patxu, tansi, lante, lanka)
balji			bulb	'bulge'	x1 is a bulb [body-part] of plant/species x2; [metaphor: rounded, bulgy]	(cf. punli, batke)
balni			balcony		x1 is a balcony/overhang/ledge/shelf of building/structure x2	(cf. kajna)
balre		ba'e	blade		x1 is a blade of tool/weapon x2	(cf. dakfu, tunta, tutci, guska, kinli, katna)
